"1_1","1_2","2_1","2_2","3_1","3_2","4_1","4_2"
0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0
0,2,0,0,0,0,0,0
0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0
0,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
2,2,0,2,1,1,0,0
1,2,1,2,1,0,0,0
0,0,0,1,1,1,0,0
0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0
0,0,0,2,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0
0,0,0,2,0,0,0,0
0,0,1,0,1,1,0,0
0,0,0,1,0,1,0,0
0,1,0,0,0,1,0,0
0,1,0,2,0,0,0,0
1,0,0,1,0,1,0,0
0,1,2,1,0,0,0,0
1,1,1,2,0,0,0,0
0,1,1,0,0,0,0,0
1,3,2,1,0,0,0,0
0,0,1,1,1,0,0,0
0,0,0,1,1,0,0,0
1,2,1,1,1,0,0,0
1,0,1,2,0,1,0,0
0,0,1,2,0,0,0,0
3,2,0,1,0,0,0,0
1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0
2,3,1,2,1,1,0,0
1,0,0,2,0,0,0,0
0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,2,0,0,0,0,0
0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0
1,2,1,0,0,0,0,0
1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,0
0,1,1,1,1,0,0,0
0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0
1,2,2,1,0,0,0,0
2,1,0,1,1,0,0,0
1,2,0,2,0,0,0,0
1,3,1,2,0,0,0,0
0,2,2,1,0,1,0,0
1,0,1,2,0,0,0,0
0,1,1,2,2,1,0,0
0,2,1,2,1,0,0,0
1,1,1,1,0,0,0,0
0,1,1,1,0,2,0,0
1,0,2,2,1,0,0,0
0,1,0,3,1,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0
1,2,2,1,0,1,0,0
0,0,0,1,0,0,1,0
0,0,1,1,0,1,0,0
0,0,0,1,1,3,0,0
0,1,1,2,0,2,0,0
2,2,1,1,0,2,1,0
2,3,0,1,0,2,0,0
1,2,1,4,1,0,0,0
1,3,2,3,0,1,0,0
1,2,1,1,0,1,0,0
2,2,1,2,0,1,0,0
